"GENE_SYMBOL","baseMean","log2FoldChange","abs.log2FC.","lfcSE","stat","pvalue","padj","Log_FoldChange","adjLogFoldChange","logCPM","PValue","FDR_adjusted_P.value"
"ADAM8",198.2004455,1.016403529,1.016403529,0.194760038,-5.21874784,1.80137e-07,1.80166e-05,0.987,0.987,5.315,1.81635e-09,9.0269e-08
"ATG9B",66.00409897,-1.128920705,1.128920705,0.282207106,4.000326994,6.3255e-05,0.003398093,-0.421,0.421,-2.289,0.447706898,0.773391037
"BCL2A1",66.24791834,2.290272197,2.290272197,0.326753143,49.93958219,1.58554e-12,3.19759e-10,1.297,1.297,2.39,4.75634e-07,1.54026e-05
"BIRC3",269.946667,1.663540127,1.663540127,0.170346735,-9.765612024,1.58154e-22,5.12003e-20,1.304,1.304,1.537,2.78229e-07,9.509e-06
"BST2",55.33769544,1.294052908,1.294052908,0.319107184,-4.055229628,5.00851e-05,0.002775435,5.4,5.4,3.642,2.03223e-38,1.36806e-35
"C15orf48",897.1370916,1.238035293,1.238035293,0.105938157,-11.68639633,1.49601e-31,9.20193e-29,1.619,1.619,5.377,1.19213e-11,8.12369e-10
"C1QTNF1",112.4996391,1.874193877,1.874193877,0.243579187,-7.694392524,1.42168e-14,3.01543e-12,0.389,0.389,3.025,0.037334613,0.192299661
"C3",6337.632134,1.510821787,1.510821787,0.105812221,-14.27832983,2.98674e-46,3.67429e-43,-0.047,0.047,5.163,0.784055499,0.948869437
"C6orf223",45.17090343,1.157063788,1.157063788,0.365317292,-3.167284479,0.001538697,0.045284814,-0.149,0.149,3.185,0.526003889,0.826391541
"C8orf4",52.90052159,1.471708626,1.471708626,0.370265461,-3.97473916,7.04564e-05,0.003736013,2.468,2.468,-3.183,4.61365e-06,0.000119594
"CCL20",412.3346515,3.146090204,3.146090204,0.165707623,-18.98579046,2.23547e-80,1.37504e-76,1.526,1.526,2.667,9.21802e-12,6.32032e-10
"CFB",789.5046709,1.856943481,1.856943481,0.132695089,-13.9940633,1.69448e-44,1.48896e-41,1.831,1.831,1.011,2.85506e-11,1.86545e-09
