"GENE_SYMBOL","baseMean","log2FoldChange","abs.log2FC.","lfcSE","stat","pvalue","padj","Log_FoldChange","absLogFC","logCPM","PValue","FDR_adjusted_P.value"
"ADAM8",198.2004455,1.016403529,1.016403529,0.194760038,-5.21874784,1.80137e-07,1.80166e-05,0.146,0.146,5.014,0.469683332,0.551661766
"ATG9B",66.00409897,-1.128920705,1.128920705,0.282207106,4.000326994,6.3255e-05,0.003398093,1.63,1.63,-1.869,0.007101067,0.014629037
"BCL2A1",66.24791834,2.290272197,2.290272197,0.326753143,49.93958219,1.58554e-12,3.19759e-10,1.031,1.031,2.234,0.000730685,0.001989033
"BIRC3",269.946667,1.663540127,1.663540127,0.170346735,-9.765612024,1.58154e-22,5.12003e-20,1.531,1.531,1.555,4.18215e-08,3.10488e-07
"BST2",55.33769544,1.294052908,1.294052908,0.319107184,-4.055229628,5.00851e-05,0.002775435,1.808,1.808,0.671,7.41985e-11,9.03101e-10
"C15orf48",897.1370916,1.238035293,1.238035293,0.105938157,-11.68639633,1.49601e-31,9.20193e-29,0.859,0.859,4.99,0.000174988,0.000566559
"C1QTNF1",112.4996391,1.874193877,1.874193877,0.243579187,-7.694392524,1.42168e-14,3.01543e-12,0.077,0.077,2.939,0.775243016,0.827035592
"C3",6337.632134,1.510821787,1.510821787,0.105812221,-14.27832983,2.98674e-46,3.67429e-43,0.003,0.003,5.192,0.970036529,0.987385854
"C6orf223",45.17090343,1.157063788,1.157063788,0.365317292,-3.167284479,0.001538697,0.045284814,-0.788,0.788,3.091,0.007621143,0.01556844
"C8orf4",52.90052159,1.471708626,1.471708626,0.370265461,-3.97473916,7.04564e-05,0.003736013,0.485,0.485,-3.446,0.843328096,0.885140851
"CCL20",412.3346515,3.146090204,3.146090204,0.165707623,-18.98579046,2.23547e-80,1.37504e-76,1.474,1.474,2.569,2.38138e-09,2.21978e-08
"CFB",789.5046709,1.856943481,1.856943481,0.132695089,-13.9940633,1.69448e-44,1.48896e-41,2.5,2.5,-2.151,2.72406e-12,4.11626e-11
"CSF2",45.55891098,2.981076824,2.981076824,0.412380312,54.7761391,1.35071e-13,2.8649e-11,0.634,0.634,1.089,0.011088716,0.021548602
"CSF3",68.07407089,4.852361822,4.852361822,0.495003666,125.7855201,3.42578e-29,1.68576e-26,-0.568,0.568,3.679,0.092103758,0.13775122
"CXCL1",1802.082249,1.419441035,1.419441035,0.103760268,-13.68000553,1.33683e-42,1.09637e-39,-0.769,0.769,4.464,0.005647226,0.011954702
"CXCL14",100.6600036,-1.446341807,1.446341807,0.268047004,5.395851422,6.81994e-08,7.55846e-06,-0.08,0.08,1.957,0.872021592,0.908145337
"CXCL2",592.6843801,1.393457744,1.393457744,0.156055832,-8.929225667,4.29001e-19,1.25656e-16,0.349,0.349,3.248,0.215728957,0.286765058
"CXCL3",156.2324207,2.232358052,2.232358052,0.263841592,-8.460978543,2.65143e-17,6.93998e-15,0.154,0.154,3.084,0.64796092,0.717243943
"CXCL5",104.7036113,3.487230856,3.487230856,0.301829295,144.9722293,2.17787e-33,1.33961e-30,-0.08,0.08,4.436,0.818109129,0.864535055
