Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Psoriasis	36/818	1.7557344103747646E-23	1.7255357785163188E-19	0	0	8.149959250203748	427.0299095519828	PGLYRP4;CSF3;CSF2;IFI6;TNFAIP3;PLAT;CXCL1;TNF;ICAM1;C3;SOCS3;S100A12;PI3;IL32;EDN1;CCL20;IL36G;SOD2;MMP9;PSMB9;BST2;IL1A;IL6;VNN1;IFI27;MIR221;TNIP1;OAS2;IL1B;SAA1;S100A9;S100A8;CFB;IVL;HBEGF;TLR2
Inflammation	27/429	1.6773830086593257E-21	8.242660104551926E-18	0	0	11.655011655011656	557.5413998476464	CXCL6;SERPINA3;CSF2;PDGFB;TNFAIP3;PLAT;CXCL1;TNF;CXCL14;CXCL2;ICAM1;C3;SOCS3;S100A12;IL32;EDN1;TNFSF14;CCL20;LIF;MMP9;IL1A;IL6;IL1B;IRF7;SAA1;S100A9;TLR2
Asthma	41/1313	2.6065293130117616E-21	8.538990029426531E-18	0	0	5.782629545005783	274.0750560837888	SERPINA3;CSF3;CSF2;ITGB3;PDGFB;TNFAIP3;CXCL1;TNF;CXCL14;CXCL5;ICAM1;MYLK;C3;CYP27B1;SOCS3;S100A12;PI3;STAT5A;IL32;EDN1;TNFSF14;CCL20;CYP4F3;LIF;SOD2;MMP9;IL1A;IL6;VNN1;MIR221;OAS1;TNIP1;OAS2;IL1B;IRF7;ADAM8;LTB;S100A9;S100A8;BIRC3;TLR2
Dermatitis, Atopic	25/484	7.198789622822001E-18	1.7687426103273657E-14	0	0	9.565350474441383	377.569432678527	CSF2;BCL2A1;CXCL1;TNF;CXCL2;ICAM1;C3;CYP27B1;SOCS3;STAT5A;IL32;EDN1;TNFSF14;CCL20;PDZK1IP1;IL1A;IL6;VNN1;TNIP1;OAS2;IL1B;S100A9;S100A8;IVL;TLR2
Pneumonia	25/497	1.3467280636758087E-17	2.6471286819611693E-14	0	0	9.315150160220583	361.85882505025177	CSF3;CSF2;PLAT;CXCL1;TNF;CXCL2;CXCL5;ICAM1;MYLK;C3;SOCS3;ZC3H12A;S100A12;CCL20;MMP9;IL1A;IL6;MMP13;IL1B;IRF7;ADAM8;S100A9;CFB;BIRC3;TLR2
Inflammatory Bowel Diseases	31/911	6.092952823056285E-17	9.980256724166195E-14	0	0	6.30158149367809	235.2809745754881	CSF3;CSF2;PDGFB;PLAT;TNF;CXCL5;ICAM1;MYLK;C3;SOCS3;S100A12;MAP3K8;STAT5A;IL32;EDN1;TNFSF14;MRGPRX3;CCL20;SLC6A14;MMP9;IL1A;IL6;VNN1;MMP13;IL1B;SAA1;LTB;S100A9;S100A8;CFB;TLR2
Influenza	26/589	6.591527892744455E-17	9.254505161413215E-14	0	0	8.174558259447902	304.569011078345	CSF3;IFITM1;CSF2;IFI6;TNF;CXCL2;IFI44L;SOCS3;P2RY6;IL32;MX2;MX1;MMP9;IL1A;IL6;IFI27;OAS1;OAS2;OAS3;IL1B;IRF7;XAF1;S100A8;IRF9;BIRC3;TLR2
Multiple Sclerosis	33/1106	2.269494374178448E-16	2.788073838678223E-13	0	0	5.525416917821981	199.0354875741531	CSF3;CSF2;TNFAIP3;PLAT;CXCL1;TNF;CXCL2;ICAM1;C3;CYP27B1;SOCS3;S100A12;PPARGC1A;IL32;TNFSF14;CCL20;CYP4F3;MX1;LIF;SOD2;MMP9;PSMB9;BST2;IL1A;IL6;FAM167A;OAS1;TNIP1;IL1B;XAF1;CFB;BIRC3;TLR2
Eczema	23/454	2.72860955554261E-16	2.97964163465253E-13	0	0	9.381628324359601	336.21475549098557	STAT5A;IL32;EDN1;CSF2;TNFSF14;BCL2A1;CCL20;CXCL1;PDZK1IP1;TNF;CXCL2;ICAM1;CYP27B1;SOCS3;IL1A;IL6;TNIP1;OAS2;IL1B;S100A9;S100A8;IVL;TLR2
Septicemia	23/468	5.266429278878976E-16	5.175846695282257E-13	0	0	9.100981323203545	320.1726040508412	CSF3;EDN1;CSF2;PLAT;TNF;CXCL2;MMP9;ICAM1;MYLK;SOCS3;IL1A;IL6;MMP13;IFI27;TNIP1;IL1B;SAA1;MAP3K8;S100A9;PPARGC1A;S100A8;CFB;TLR2
