adj.P.Val,P.Value,t,B,logFC,adjLFC,GENE_SYMBOL,Gene.title
1.34E-25,8.66E-29,13.2,54.65536,4.14,4.14,LINC01093,long intergenic non-protein coding RNA 1093
4.81E-20,7.36E-23,11.2,41.27608,3.96,3.96,CXCL10,C-X-C motif chemokine ligand 10
6.72E-19,1.4E-21,10.8,38.386707,3.83,3.83,CXCL11,C-X-C motif chemokine ligand 11
1.84E-26,1.03E-29,13.5,56.742224,3.37,3.37,OASL,2'-5'-oligoadenylate synthetase like
6.52E-71,1.92E-75,30.4,158.491655,3.36,3.36,FOS,"Fos proto-oncogene, AP-1 transcription factor subunit"
5.44E-29,2.4E-32,14.4,62.677654,2.88,2.88,FOSB,"FosB proto-oncogene, AP-1 transcription factor subunit"
7.88E-19,1.69E-21,10.8,38.203596,2.7,2.7,IFIT1,interferon induced protein with tetratricopeptide repeats 1
1.31E-18,2.92E-21,10.7,37.6687,2.64,2.64,IFI44L,interferon induced protein 44 like
1.07E-17,3.21E-20,10.3,35.318681,2.52,2.52,RSAD2,radical S-adenosyl methionine domain containing 2
3E-19,5.99E-22,10.9,39.220284,2.5,2.5,IGK///IGKV3-20///IGHV3-23,immunoglobulin kappa locus///immunoglobulin kappa variable 3-20///immunoglobulin heavy variable 3-23
1.68E-15,7.59E-18,9.52,29.964465,2.46,2.46,APOBEC3A,apolipoprotein B mRNA editing enzyme catalytic subunit 3A
3.31E-18,8.18E-21,10.5,36.657896,2.41,2.41,MX2,MX dynamin like GTPase 2
7.88E-23,7.41E-26,12.2,48.039729,2.37,2.37,ERVH-4,endogenous retrovirus group H member 4
8.19E-23,7.95E-26,12.2,47.971037,2.34,2.34,NR4A1,nuclear receptor subfamily 4 group A member 1
1.45E-43,1.7E-47,19.5,96.709212,2.3,2.3,CD55,CD55 molecule (Cromer blood group)
9E-18,2.64E-20,10.4,35.508685,2.3,2.3,IFNL3,interferon lambda 3
1.32E-12,1.07E-14,8.38,22.869221,2.27,2.27,C11orf96,chromosome 11 open reading frame 96
1.25E-19,2.28E-22,11.1,40.168681,2.26,2.26,ISG15,ISG15 ubiquitin-like modifier
8.89E-19,1.93E-21,10.8,38.07161,2.26,2.26,RGS1,regulator of G-protein signaling 1
6.48E-20,1.03E-22,11.2,40.947117,2.24,2.24,PRNT,prion protein (testis specific)
3.46E-15,1.66E-17,9.4,29.200738,2.23,2.23,IFNB1,interferon beta 1
1.77E-18,4.05E-21,10.7,37.347519,2.18,2.18,PAEP,progestagen associated endometrial protein
5.86E-18,1.58E-20,10.5,36.011131,2.12,2.12,IFIT3,interferon induced protein with tetratricopeptide repeats 3
3.85E-15,1.86E-17,9.38,29.089048,2.1,2.1,IFIT2,interferon induced protein with tetratricopeptide repeats 2
4.28E-12,3.9E-14,8.18,21.607447,2.09,2.09,IFI27,interferon alpha inducible protein 27
5E-17,1.7E-19,10.1,33.68567,2.06,2.06,IFI6,interferon alpha inducible protein 6
2.87E-10,3.77E-12,7.42,17.146227,2.06,2.06,IL6,interleukin 6
4.26E-18,1.13E-20,10.5,36.343287,2.02,2.02,FADS2,fatty acid desaturase 2
3.41E-18,8.61E-21,10.5,36.607867,1.96,1.96,HERC5,HECT and RLD domain containing E3 ubiquitin protein ligase 5
1.75E-19,3.3E-22,11,39.806222,1.95,1.95,OAS3,2'-5'-oligoadenylate synthetase 3
3.61E-18,9.23E-21,10.5,36.540434,1.94,1.94,EPSTI1,epithelial stromal interaction 1 (breast)
3.73E-27,1.97E-30,13.8,58.359285,1.92,1.92,CXCL2,C-X-C motif chemokine ligand 2
4.97E-12,4.57E-14,8.15,21.450683,1.85,1.85,AIM2,absent in melanoma 2
1.11E-15,4.84E-18,9.59,30.405215,1.84,1.84,TRMU///GTSE1,tRNA 5-methylaminomethyl-2-thiouridylate methyltransferase///G2 and S-phase expressed 1
1.1E-48,6.45E-53,21.5,108.815865,1.8,1.8,EGR1,early growth response 1
6.96E-21,9E-24,11.5,43.335069,1.78,1.78,XAF1,XIAP associated factor 1
7.95E-18,2.31E-20,10.4,35.640203,1.75,1.75,RGR,retinal G protein coupled receptor
1.51E-10,1.86E-12,7.54,17.836327,1.72,1.72,RASD1,ras related dexamethasone induced 1
5.88E-18,1.63E-20,10.4,35.9853,1.68,1.68,MX1,MX dynamin like GTPase 1
8.38E-16,3.52E-18,9.64,30.71625,1.68,1.68,OAS2,2'-5'-oligoadenylate synthetase 2
1.17E-15,5.15E-18,9.58,30.343766,1.66,1.66,ZBP1,Z-DNA binding protein 1
3.24E-17,1.08E-19,10.2,34.125799,1.64,1.64,TNFSF13B,tumor necrosis factor superfamily member 13b
0.00000593,0.000000222,5.83,6.875387,1.62,1.62,CD84,CD84 molecule
2.06E-15,9.47E-18,9.49,29.748132,1.61,1.61,PNPLA5,patatin like phospholipase domain containing 5
9.95E-14,6.29E-16,8.84,25.641875,1.54,1.54,CXCL9,C-X-C motif chemokine ligand 9
3.79E-46,3.35E-50,20.5,102.758521,1.53,1.53,DUSP1,dual specificity phosphatase 1
3.42E-10,4.53E-12,7.38,16.967287,1.51,1.51,BST2,bone marrow stromal cell antigen 2
7.98E-16,3.33E-18,9.65,30.770921,1.48,1.48,ZBTB47,zinc finger and BTB domain containing 47
1.23E-14,6.62E-17,9.19,27.844059,1.48,1.48,IFI44,interferon induced protein 44
2.13E-13,1.44E-15,8.7,24.830513,1.48,1.48,IFNL1,interferon lambda 1
1.19E-16,4.29E-19,9.96,32.779679,1.47,1.47,DDX58,DEXD/H-box helicase 58
3.3E-12,2.95E-14,8.22,21.880839,1.45,1.45,SSTR2,somatostatin receptor 2
8.01E-17,2.83E-19,10,33.187119,1.44,1.44,IFNL2,interferon lambda 2
2.37E-16,8.93E-19,9.85,32.060589,1.41,1.41,EDAR,ectodysplasin A receptor
8.23E-13,6.48E-15,8.47,23.359948,1.39,1.39,OAS1,2'-5'-oligoadenylate synthetase 1
4.57E-16,1.83E-18,9.74,31.359073,1.37,1.37,KLF6,Kruppel like factor 6
8.18E-14,5.12E-16,8.87,25.84256,1.37,1.37,IFITM1,interferon induced transmembrane protein 1
2.06E-13,1.39E-15,8.71,24.866722,1.36,1.36,LAMP3,lysosomal associated membrane protein 3
5.58E-21,7.05E-24,11.6,43.574451,1.35,1.35,IRF7,interferon regulatory factor 7
5.81E-15,2.92E-17,9.31,28.6461,1.34,1.34,TAGAP,T-cell activation RhoGTPase activating protein
1.32E-08,2.37E-10,6.69,13.116349,1.34,1.34,CSF3,colony stimulating factor 3
2.28E-13,1.56E-15,8.69,24.75188,1.3,1.3,HHIP,hedgehog interacting protein
6.84E-17,2.35E-19,10,33.367658,1.27,1.27,HERC6,HECT and RLD domain containing E3 ubiquitin protein ligase family member 6
2.26E-09,3.48E-11,7.03,14.980785,1.26,1.26,OLFM1,olfactomedin 1
1.1E-15,4.77E-18,9.59,30.419304,1.25,1.25,USP18,ubiquitin specific peptidase 18
3.03E-14,1.77E-16,9.03,26.883931,1.23,1.23,STAT1,signal transducer and activator of transcription 1
9.41E-13,7.5E-15,8.44,23.218118,1.19,1.19,NXNL1,nucleoredoxin-like 1
3.57E-11,3.94E-13,7.8,19.347307,1.19,1.19,DUSP5,dual specificity phosphatase 5
1.92E-18,4.51E-21,10.6,37.242569,1.18,1.18,EGR2,early growth response 2
2.28E-13,1.57E-15,8.69,24.746327,1.18,1.18,DDX60,DEXD/H-box helicase 60
0.0000041,0.000000146,5.46,6.898101,1.15,1.15,NPFFR2,neuropeptide FF receptor 2
9.71E-15,5.08E-17,9.23,28.103293,1.14,1.14,DDX60L,DEAD-box helicase 60-like
0.0171,0.00279,-3.05,-2.236302,-1.13,1.13,IGFL2,IGF like family member 2
3.34E-11,3.68E-13,7.81,19.416061,1.12,1.12,WFDC9,WAP four-disulfide core domain 9
3.78E-09,6.08E-11,6.93,14.438422,1.12,1.12,TNFAIP6,TNF alpha induced protein 6
1.11E-31,2.92E-35,15.4,69.241078,1.11,1.11,ZFP36,ZFP36 ring finger protein
2.59E-14,1.5E-16,9.06,27.044397,1.11,1.11,BATF2,basic leucine zipper ATF-like transcription factor 2
1.11E-12,8.94E-15,8.41,23.045673,1.09,1.09,SAMD9L,sterile alpha motif domain containing 9 like
4.33E-10,5.87E-12,7.34,16.71382,1.08,1.08,THEMIS2,thymocyte selection associated family member 2
5.86E-25,4.31E-28,13,53.083303,1.07,1.07,MAP3K8,mitogen-activated protein kinase kinase kinase 8
6.4E-13,4.89E-15,8.51,23.636113,1.07,1.07,GMPR,guanosine monophosphate reductase
0.00000018,4.31E-09,6.33,10.474584,1.07,1.07,PNMA3,paraneoplastic Ma antigen 3
4.39E-14,2.64E-16,8.97,26.489654,1.06,1.06,CSRNP1,cysteine and serine rich nuclear protein 1
5.77E-11,6.72E-13,7.71,18.827823,1.06,1.06,KLHDC7B,kelch domain containing 7B
2.6E-12,2.28E-14,8.26,22.132993,1.05,1.05,CXCL3,C-X-C motif chemokine ligand 3
1.06E-22,1.09E-25,12.2,47.658033,1.02,1.02,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit"
2.49E-09,3.85E-11,-7.27,15.027895,-1.02,1.02,FLJ21408,uncharacterized LOC400512
2.2E-17,6.93E-20,10.2,34.565211,1.01,1.01,IFI35,interferon induced protein 35
1.46E-12,1.21E-14,8.37,22.752061,1.01,1.01,IFITM4P,interferon induced transmembrane protein 4 pseudogene
7.36E-41,1.08E-44,18.5,90.431192,1.54,1.54,,
5.71E-34,1.01E-37,16.2,74.783392,0.767,0.767,IER2,immediate early response 2
1.82E-30,5.36E-34,14.9,66.397143,0.55,0.55,HES1,hes family bHLH transcription factor 1
3.99E-29,1.64E-32,14.4,63.047257,0.761,0.761,CPT1B,carnitine palmitoyltransferase 1B
3.29E-26,1.93E-29,13.4,56.125364,0.681,0.681,JUNB,"JunB proto-oncogene, AP-1 transcription factor subunit"
8.05E-26,4.97E-29,-13.3,55.19948,-0.547,0.547,LOC644656,uncharacterized LOC644656
5.11E-25,3.6E-28,-13,53.258631,-0.469,0.469,ZNF436-AS1,ZNF436 antisense RNA 1
1.63E-24,1.25E-27,12.8,52.040449,0.505,0.505,DTNBP1,dystrobrevin binding protein 1
8.8E-24,7.25E-27,12.6,50.318078,0.817,0.817,PILRB,paired immunoglobin-like type 2 receptor beta
1.15E-23,9.8E-27,12.5,50.022279,0.682,0.682,C19orf66,chromosome 19 open reading frame 66
3.4E-22,3.6E-25,12,46.490583,0.818,0.818,PILRA,paired immunoglobin like type 2 receptor alpha
4.42E-22,4.81E-25,12,46.207199,0.724,0.724,ITIH4,inter-alpha-trypsin inhibitor heavy chain family member 4
2.06E-21,2.3E-24,-11.7,44.671247,-0.658,0.658,NGLY1,N-glycanase 1
2.37E-21,2.78E-24,11.7,44.485386,0.638,0.638,SNHG8,small nucleolar RNA host gene 8
2.37E-21,2.72E-24,-11.7,44.506466,-0.576,0.576,XPNPEP3,X-prolyl aminopeptidase 3
1.06E-20,1.44E-23,11.5,42.877516,0.372,0.372,PARP6,poly(ADP-ribose) polymerase family member 6
2.01E-20,2.78E-23,11.4,42.230038,0.654,0.654,SLC25A28,solute carrier family 25 member 28
2.14E-20,3.02E-23,-11.4,42.150244,-0.614,0.614,C8orf59,chromosome 8 open reading frame 59
3.13E-20,4.53E-23,11.3,41.752066,0.6,0.6,AOC3,"amine oxidase, copper containing 3"
