GENE_SYMBOL,Log_FoldChange,adjLogFoldChange,logCPM,PValue,FDR_adjusted_P.value
CXCL10,7.974,7.974,6.263,8.5855E-55,2.72467E-51
IFNL2,7.521,7.521,-0.977,1.25433E-39,8.98872E-37
CMPK2,7.3,7.3,5.003,2.65791E-54,6.56062E-51
CXCL11,7.206,7.206,5.314,3.93081E-60,2.18307E-56
RSAD2,7.199,7.199,6.113,7.06266E-54,1.56897E-50
IFIT2,6.878,6.878,7.296,1.66245E-69,3.69314E-65
IFNL1,6.695,6.695,-1.068,9.96879E-37,5.67838E-34
IFNL3,6.651,6.651,-1.786,2.90447E-29,1.02417E-26
IFIT1,6.495,6.495,8.486,9.81157E-62,7.26547E-58
IFI44L,6.319,6.319,5.824,8.57772E-44,9.074E-41
IFNB1,6.138,6.138,-0.754,6.12987E-38,3.89072E-35
CETP,6.105,6.105,-1.992,1.27607E-24,3.08128E-22
IFIT3,6.063,6.063,7.319,2.24036E-64,2.48848E-60
MX2,5.94,5.94,6.271,1.94529E-54,5.40184E-51
LGALS9,5.781,5.781,2.482,5.84081E-34,2.7032E-31
PKHD1L1,5.752,5.752,-1.746,5.07236E-18,7.22324E-16
GMPR,5.715,5.715,2.139,8.05245E-39,5.59016E-36
LOC100996335,5.615,5.615,-1.807,3.36716E-20,6.08142E-18
MX1,5.604,5.604,8.632,6.46669E-53,1.19715E-49
HERC5,5.532,5.532,3.999,1.89608E-51,3.24011E-48
OASL,5.526,5.526,6.358,2.902E-56,1.07447E-52
FCGR3B,5.506,5.506,-2.968,1.98692E-15,2.06259E-13
RAB44,5.418,5.418,-1.247,5.98825E-23,1.35744E-20
BST2,5.4,5.4,3.642,2.03223E-38,1.36806E-35
GBP4,5.382,5.382,4.035,1.34931E-40,1.09449E-37
LAMP3,5.333,5.333,3.453,2.46422E-43,2.38012E-40
HSH2D,5.325,5.325,3.639,1.16916E-58,5.19459E-55
MIR568,-5.272,5.272,-0.823,0.004159245,0.039126635
CIB3,5.179,5.179,-2.546,4.89484E-17,6.14344E-15
LENG1,-5.132,5.132,-2.688,0.003748684,0.036058783
COMP,5.101,5.101,-0.839,1.07555E-19,1.82392E-17
FCGR3A,5.067,5.067,-2.816,4.15805E-18,5.95942E-16
ISG15,5.006,5.006,7.93,2.61788E-48,3.63477E-45
TTLL10,4.975,4.975,-2.161,8.08135E-15,7.70503E-13
FCGR2B,4.959,4.959,-0.924,2.34195E-22,5.06195E-20
BCAR4,4.938,4.938,-2.761,1.62764E-18,2.49365E-16
RTP4,4.93,4.93,2.215,3.91571E-34,1.8508E-31
AMPD1,4.929,4.929,-2.984,2.2337E-15,2.2973E-13
OAS1,4.928,4.928,6.813,2.5055E-49,3.97569E-46
MMP13,4.9,4.9,1.927,2.84673E-28,9.72925E-26
TRPM1,4.881,4.881,-2.93,1.01521E-13,8.77548E-12
GBP5,4.869,4.869,2.967,7.29226E-48,9.52927E-45
