GENE_SYMBOL,Log_FoldChange,absLogFC,logCPM,PValue,FDR_adjusted_P.value
PKHD1L1,9.486,9.486,1.223,1.38919E-41,7.3178E-39
CHRNA4,9.223,9.223,0.443,8.61647E-35,2.09862E-32
AMPD1,8.804,8.804,-0.524,1.88016E-39,7.47151E-37
GCG,8.752,8.752,-0.707,1.18018E-37,3.76511E-35
THEMIS,8.562,8.562,0.117,5.01852E-42,2.91473E-39
PLVAP,8.187,8.187,-1.341,3.32693E-24,2.39994E-22
MEP1B,8.134,8.134,-1.038,1.23639E-32,2.52301E-30
IFIT1B,8.052,8.052,0.523,9.16731E-42,5.0646E-39
RAB44,8.049,8.049,0.644,2.90472E-37,8.65722E-35
MYO18B,7.989,7.989,-1.08,5.23418E-34,1.18559E-31
IFNL2,7.912,7.912,-1.138,1.53564E-82,1.15946E-78
FAN1,-7.865,7.865,-0.153,5.74998E-08,4.13995E-07
HSPA1B,7.799,7.799,4.386,2.50807E-13,4.43138E-12
LOC101928012,7.764,7.764,-1.907,3.43824E-24,2.47237E-22
P2RY14,7.717,7.717,-1.84,8.03519E-27,8.01784E-25
LOC653786,7.696,7.696,4.559,6.71209E-59,1.52036E-55
ASTL,7.663,7.663,-1.613,1.04049E-28,1.34676E-26
PCDH10,7.573,7.573,2.47,2.63332E-21,1.33141E-19
FAM71A,7.553,7.553,-1.643,4.06629E-25,3.30127E-23
KIAA0319,7.552,7.552,1.722,2.45228E-39,9.57701E-37
NMRK2,7.514,7.514,-2.038,8.79147E-34,1.97164E-31
KRT82,7.44,7.44,-1.634,7.73462E-31,1.30744E-28
SVOPL,7.433,7.433,1.076,2.98121E-24,2.1713E-22
LOC100996335,7.425,7.425,-0.964,4.26704E-33,9.11817E-31
LOC101059915,7.423,7.423,-1.788,3.96686E-26,3.65258E-24
IFNB1,7.422,7.422,-0.072,1.37364E-87,1.55571E-83
HDC,7.418,7.418,-2.082,7.68396E-28,8.97162E-26
DCLK3,7.371,7.371,-0.226,2.35131E-30,3.6479E-28
HLA-DOA,7.368,7.368,-2.426,8.33871E-28,9.58782E-26
MPO,7.356,7.356,-2.143,2.16242E-24,1.6327E-22
ID2,7.341,7.341,5.042,2.25732E-49,2.69108E-46
PRPH,7.332,7.332,-0.475,3.81767E-46,2.98186E-43
SLC17A8,7.328,7.328,-0.188,7.13861E-21,3.44769E-19
IFNL1,7.317,7.317,-1.071,1.03086E-68,4.67001E-65
LINC02213,7.315,7.315,-2.213,1.53948E-26,1.4966E-24
LINC00486,7.309,7.309,-2.263,1.73112E-23,1.11714E-21
MRC1,7.304,7.304,0.703,2.47471E-30,3.81325E-28
TNN,7.282,7.282,-0.996,1.30295E-31,2.41912E-29
LDHC,7.27,7.27,1.719,2.39411E-51,3.38931E-48
LOC102724555,7.264,7.264,-1.785,9.87375E-26,8.50381E-24
CDO1,7.258,7.258,-2.224,8.03532E-25,6.35968E-23
CIB3,7.254,7.254,-1.722,1.24237E-30,2.05409E-28
ATP6V0A4,7.24,7.24,2.022,6.87514E-46,5.19096E-43
KIF4B,7.223,7.223,-0.532,7.35842E-28,8.63604E-26
AMY2A,7.221,7.221,-1.515,3.7961E-25,3.09334E-23
GRIK4,7.191,7.191,-1.968,2.0566E-22,1.18837E-20
LRRIQ4,7.188,7.188,-1.269,1.0398E-27,1.17177E-25
TDH,7.18,7.18,-0.885,1.21522E-30,2.02396E-28
TSPAN8,7.159,7.159,-2.102,1.3383E-23,8.86368E-22
SPAG6,7.156,7.156,-1.438,4.93528E-23,3.04602E-21
LINC00487,7.129,7.129,-1.845,1.43071E-19,6.06874E-18
AOC4P,7.088,7.088,-1.922,2.67847E-28,3.3153E-26
