GENE_SYMBOL,adj.P.Val,P.Value,t,B,logFC,abs_logFC
SSX2,7.88E-14,2.31E-18,107.9544379,22.65263887,9.489555091,9.489555091
FBXL8,4.44E-11,2.60E-15,57.83455022,21.03489327,9.036912918,9.036912918
FOS,8.44E-10,7.42E-14,42.92240523,19.59842486,3.160282942,3.160282942
EGR1,8.78E-09,1.03E-12,33.93738654,18.09867411,2.880819826,2.880819826
NR4A1,0.00000011,1.62E-11,26.5122648,16.18556871,3.215612097,3.215612097
DUSP1,0.000000311,5.47E-11,23.75198752,15.23599208,2.324960002,2.324960002
TCERG1,0.000000611,1.25E-10,-22.03670193,14.55891008,-1.538730763,1.538730763
FLJ22184,0.000000701,1.79E-10,21.33403348,14.25943895,3.974338701,3.974338701
PNP,0.000000701,2.00E-10,-21.12629176,14.16825509,-1.127164608,1.127164608
OR3A4P,0.000000701,2.26E-10,20.88978545,14.06292682,5.313298598,5.313298598
BTF3,0.000000839,3.12E-10,-20.28621183,13.78656878,-1.126912382,1.126912382
IER2,0.000000839,3.20E-10,20.24259115,13.76616452,1.408404116,1.408404116
IER3,0.00000127,5.44E-10,19.28706314,13.3038911,1.228463828,1.228463828
SLC22A23,0.00000127,5.56E-10,19.24787971,13.28428978,5.054842251,5.054842251
ZFP36,0.00000137,6.44E-10,18.99121044,13.15458761,1.61353446,1.61353446
CXCL2,0.00000166,8.27E-10,18.56311314,12.93310768,2.766766118,2.766766118
SPDYE8P,0.00000198,1.21E-09,-17.92714661,12.59169453,-1.039981121,1.039981121
NDUFAF4,0.00000236,1.59E-09,-17.4877079,12.34671126,-1.419970554,1.419970554
NFE4,0.00000336,2.36E-09,16.86144955,11.9840386,4.445176558,4.445176558
PCBD1,0.00000404,3.38E-09,-16.31354201,11.65297497,-1.049069866,1.049069866
TSPAN18,0.00000404,3.56E-09,16.23855639,11.60662432,4.455071526,4.455071526
MRPL50,0.00000404,3.67E-09,-16.19362809,11.57873,-1.32237161,1.32237161
DUSP5,0.00000404,3.74E-09,16.16314343,11.55975047,1.322312039,1.322312039
HSPA1A,0.00000441,4.27E-09,15.96817985,11.43735018,1.330809788,1.330809788
JUN,0.00000456,4.54E-09,15.87561167,11.37861198,1.692358154,1.692358154
ARRDC4,0.00000467,4.86E-09,15.77874323,11.31670991,1.25876807,1.25876807
CXCL10,0.00000493,5.47E-09,15.60495047,11.20452101,4.014597087,4.014597087
TICAM1,0.00000493,5.49E-09,15.60087256,11.201871,1.09670289,1.09670289
KRTDAP,0.00000594,7.14E-09,-15.22626978,10.9549299,-2.506381754,2.506381754
HK2,0.00000602,7.41E-09,15.17393681,10.91987072,1.050696486,1.050696486
ATF3,0.00000662,8.91E-09,14.91671041,10.74550014,2.351239134,2.351239134
EGR2,0.00000662,8.95E-09,14.91033481,10.74113448,1.68871455,1.68871455
EPHB4,0.00000662,9.03E-09,14.89859356,10.73308913,1.163902442,1.163902442
PLEKHA4,0.00000662,9.12E-09,14.88506467,10.72380985,1.230869458,1.230869458
C11orf96,0.00000706,1.01E-08,14.73901751,10.6230214,2.294467437,2.294467437
SLC25A25,0.00000706,1.01E-08,14.74953231,10.63031567,1.259664064,1.259664064
HSPA6,0.00000746,1.15E-08,14.56403726,10.50076108,2.768151949,2.768151949
NID1,0.00000746,1.15E-08,14.56382055,10.50060863,1.984636077,1.984636077
CEL,0.00000746,1.16E-08,14.55699968,10.49580913,2.860804401,2.860804401
BRD4,0.00000774,1.25E-08,14.45736979,10.42541406,1.099649636,1.099649636
S1PR3,0.0000102,1.88E-08,13.91589061,10.03308328,1.154627003,1.154627003
LDLR,0.0000102,1.91E-08,13.89542688,10.01792553,1.03121302,1.03121302
HSPA1B,0.0000107,2.13E-08,13.75418574,9.912632258,1.05222605,1.05222605
ATP1A3,0.000011,2.32E-08,13.64163757,9.827877228,2.969434549,2.969434549
OR13D1,0.0000112,0.000000024,13.60262044,9.798316805,3.018359687,3.018359687
C17orf103,0.0000114,2.47E-08,13.56186266,9.767338843,3.079660269,3.079660269
LCE1A,0.0000118,2.59E-08,13.50483561,9.72382511,2.945296,2.945296
MAB21L2,0.0000118,2.63E-08,13.48690404,9.710101439,1.523869557,1.523869557
IGDCC3,0.0000118,2.71E-08,13.44894148,9.680981952,3.053772974,3.053772974
TRIM25,0.0000126,2.93E-08,13.35021645,9.604835936,1.35556406,1.35556406
HAS3,0.0000129,3.14E-08,13.26333272,9.537318969,1.290749554,1.290749554
RHOF,0.0000129,3.15E-08,13.26002314,9.534737715,2.846120032,2.846120032
LOC100131138,0.000013,3.38E-08,13.17272755,9.466402043,1.355895275,1.355895275
SPATA21,0.000013,3.38E-08,13.17141251,9.46536891,1.302712338,1.302712338
EREG,0.000013,3.43E-08,13.15426174,9.451884683,1.258583866,1.258583866
MYC,0.000013,3.47E-08,13.13741532,9.438621419,1.073526316,1.073526316
BHLHE41,0.0000132,3.55E-08,13.11097563,9.41776864,1.262781762,1.262781762
SF3A1,0.0000136,3.78E-08,13.03296808,9.355982191,1.084217522,1.084217522
LIF,0.0000136,0.000000039,12.99408539,9.325037628,1.096883045,1.096883045
DUSP8,0.0000136,0.00000004,12.96482558,9.301686422,1.002504134,1.002504134
TRIB1,0.0000139,4.15E-08,12.91797987,9.264183856,1.211895576,1.211895576
CPNE1,0.0000139,4.19E-08,12.90703812,9.25540362,1.188091444,1.188091444
PIM3,0.0000139,4.23E-08,12.89591352,9.246468569,1.06395738,1.06395738
COPE,0.000014,0.000000043,12.87552879,9.23007479,2.761913261,2.761913261
FAM84B,0.000014,4.34E-08,12.86441578,9.221125934,1.012037128,1.012037128
SPRR2E,0.0000145,4.97E-08,-12.70165224,9.089116922,-1.35942073,1.35942073
TNFAIP3,0.0000145,5.12E-08,12.66650441,9.060376853,1.76211345,1.76211345
LIPE,0.0000151,5.64E-08,12.55064152,8.965042194,1.071553136,1.071553136
CXCL3,0.0000154,5.83E-08,12.51166239,8.932762597,1.625779844,1.625779844
AGXT,0.0000154,5.91E-08,12.4959596,8.919729124,1.192593308,1.192593308
LRRD1,0.0000158,6.54E-08,12.37708028,8.820502694,1.381141112,1.381141112
IFIT2,0.0000158,0.000000066,12.36488344,8.810266393,3.362857996,3.362857996
LCE2B,0.0000162,6.93E-08,12.30807383,8.762450515,3.400642045,3.400642045
PTGER4,0.0000173,7.83E-08,12.16685789,8.642598868,1.286470528,1.286470528
PRSS36,0.0000185,8.66E-08,12.05149316,8.54362397,1.327865692,1.327865692
SERPINB9,0.0000185,8.66E-08,12.0506679,8.542912473,1.06251395,1.06251395
OASL,0.0000185,8.68E-08,12.04824003,8.540819005,2.628310864,2.628310864
