Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
malaria	2/14	0.0025199721964248188	0.22679749767823368	0	0	26.455026455026452	158.2938468435033	TNF;ICAM1
cholesterol level	2/15	0.0028974379576251997	0.130384708093134	0	0	24.691358024691358	144.2945282805163	EDN1;VNN1
macular degeneration	2/18	0.0041776435065928345	0.12532930519778504	0	0	20.576131687242796	112.71621287692103	C3;CFB
gastric cancer	1/11	0.057835721217223385	1.0	0	0	16.835016835016834	47.98230101106203	IL1B
thrombophilia	1/11	0.057835721217223385	1.0	0	0	16.835016835016834	47.98230101106203	PLAT
diabetes	2/75	0.062155649657917485	0.9323347448687622	0	0	4.938271604938271	13.719079316395712	IL6;OAS1
dementia	1/12	0.06292619702215602	0.8090511045705774	0	0	15.432098765432096	42.68198634480838	TNF
rheumatoid arthritis	1/13	0.06798942297117559	0.7648810084257254	0	0	14.245014245014245	38.29634088954234	IL6
cdeficiency	1/13	0.06798942297117559	0.6798942297117558	0	0	14.245014245014245	38.29634088954234	C3
migraine	1/16	0.08301704241712896	0.7471533817541606	0	0	11.574074074074073	28.8045065038897	TNF
lung cancer	1/21	0.10753141303223504	0.8798024702637413	0	0	8.818342151675484	19.66465837607883	MAP3K8
asthma	1/23	0.11715435062905222	0.8786576297178916	0	0	8.051529790660226	17.264597242077862	TNF
diabetes mellitus, type 1	1/27	0.13609289194887605	0.942181559646065	0	0	6.858710562414266	13.67913304093553	OAS1
obesity	1/31	0.15462885200071758	0.9940426200046131	0	0	5.973715651135006	11.151299502339015	SLC6A14
colorectal cancer	1/40	0.194906457103083	1.0	0	0	4.62962962962963	7.570534919807216	TLR2
diabetes mellitus	1/58	0.26984440623775807	1.0	0	0	3.1928480204342273	4.182342781885271	OAS1
