,baseMean,log2FoldChange,absoluteLogFC,lfcSE,stat,pvalue,padj
HLA-DQA1,361.8383164,-7.31028667,7.31028667,0.478801222,-15.26789475,1.25149E-52,7.2461E-50
HLA-DQB1,110.9343514,-5.468499983,5.468499983,0.369987788,-14.7802175,1.96531E-49,5.68956E-47
SERPING1,441.9361086,2.367465311,2.367465311,0.471090977,5.025494923,5.02136E-07,5.9334E-06
C4BPA,14.75626378,-2.060709273,2.060709273,0.348225119,38.01352205,7.0256E-10,1.39508E-08
FCER1A,166.8126574,-1.877792237,1.877792237,0.280555421,49.29819957,2.19864E-12,8.73175E-11
CCR1,672.1076615,1.871708638,1.871708638,0.261357126,7.161498404,7.97999E-13,3.55417E-11
GP1BB,626.6806294,1.829248676,1.829248676,0.316024651,5.78831008,7.10981E-09,1.17617E-07
IL6R,484.5059663,-1.820956824,1.820956824,0.14606902,170.7734742,5.01458E-39,9.29368E-37
HLA-DRA,4335.661692,-1.747125874,1.747125874,0.211955592,74.79052614,5.23403E-18,4.15731E-16
KIR_Activating_Subgroup_1,112.5988965,1.67279601,1.67279601,0.332322477,5.033652937,4.81221E-07,5.80472E-06
LILRA3,74.52134567,-1.666746104,1.666746104,0.599929206,8.466866447,0.003616739,0.013496021
STAT1,1604.815145,1.496108629,1.496108629,0.248769265,6.014041283,1.80954E-09,3.27414E-08
IRF7,344.9599029,1.488445752,1.488445752,0.338780158,4.393544649,1.11517E-05,0.000107614
C2,50.00184042,1.487146864,1.487146864,0.296668681,5.012820561,5.36379E-07,6.08948E-06
CD19,94.35155019,-1.453724997,1.453724997,0.175905751,73.62126225,9.46397E-18,6.57746E-16
IFIT2,998.1581839,1.451770723,1.451770723,0.551587124,2.631988058,0.008488685,0.028742388
KLRB1,646.8719763,-1.441164873,1.441164873,0.323845109,21.61518405,3.33204E-06,3.63257E-05
IFIH1,293.7442688,1.422826817,1.422826817,0.323232829,4.40186358,1.07325E-05,0.000105324
MS4A1,354.4674486,-1.412652317,1.412652317,0.188037294,61.37168124,4.72559E-15,2.38857E-13
CCR5,241.7825791,1.407817703,1.407817703,0.203282391,6.925428692,4.34657E-12,1.67778E-10
LAG3,202.0532251,1.392052195,1.392052195,0.249249774,5.58496873,2.33742E-08,3.38342E-07
MX1,3177.296571,1.390896672,1.390896672,0.449668383,3.093160927,0.001980367,0.008369581
CD22,132.3778407,-1.355364922,1.355364922,0.21404876,43.34433063,4.59064E-11,1.418E-09
KIR_Activating_Subgroup_2,76.95984039,1.346837444,1.346837444,0.319326775,4.217740412,2.46763E-05,0.000207066
ZBTB16,118.1897424,1.287884027,1.287884027,0.193111117,6.669134574,2.57316E-11,7.84137E-10
KLRC1,211.2548294,1.266652862,1.266652862,0.300096124,4.220823794,2.43411E-05,0.000207066
CD79A,375.1705379,-1.237997123,1.237997123,0.147978996,75.49737459,3.65893E-18,3.39061E-16
TNFRSF13C,152.2755765,-1.231912098,1.231912098,0.196138892,42.46264878,7.2045E-11,2.10826E-09
ITGB2,4036.639779,1.231235227,1.231235227,0.121498608,10.13373933,3.91389E-24,5.66536E-22
CD97,1982.601208,-1.201834571,1.201834571,0.150568473,68.89468863,1.03864E-16,6.4165E-15
