control,case
77,90
91,91
77,78
87,64
85,96
54,83
81,77
51,87
88,80
56,70
70,77
51,86
84,62
77,80
53,85
90,55
72,84
71,77
95,82
81,75
57,82
84,90
79,78
70,104
70,71
70,85
92,92
81,57.14
93,91
96,91
94,87
81,32
90,64
79,81
89,86
82,97
89,63
85,83
88,82
89,57.14
97,77
83,89
87,67
83,61
99,83
88,86
77,87
71,92
72,92
68,89
90,96
98,101
85,67
88,97
71,88
70,45
74,96
73,94
78,96
64,101
87,91
89,93
51,85
85,85
93,71
86,57.14
75,78
86,54
87,88
75,55
76,30
90,61
90,38
58,41
75,35
80,77
90,42
58,17
51,49
79,62
91,64
80,21
93,73
77,68
57.14,57
76,56
88,87
80,56
92,93
90,70
84,43
84,36
72,50
76,50
75,57
77,87
64,38
65,86
65,56
94,85
50,85
100,40
96,85
89,77
92,69
93,52
58,58
88,67
65,50
87,71
39,78
58,71
96,69
62,80
84,44
91,75
61,79
92,82
84,75
77,95
81,78
74,86
65,93
93,91
74,51
72,55
56,58
76,79
45,80
86,73
60,89
57.14,63
82,89
86,77
88,62
52,68
73,87
66,73
70,78
61,64
60,42
43,86
91,74
68,86
99,36
82,61
89,65
68,39
54,70
73,51
89,80
56,96
85,79
63,73
98,77
89,31
25,73
70,49
86,85
44,87
62,69
85,87
57.14,88
88,72
48,65
88,74
83,77
81,93
79,91
75,55
66,39
90,38
91,47
83,57.14
60,57.14
56,57.14
78,57.14
87,70
62,57.14
54,57.14
89,57.14
73,57.14
28,46
68,33
75,68
70,57.14
76,43
62,57.14
83,57.14
92,57.14
88,57.14
71,57.14
96,50
83,27
72,46
94,57.14
83,57.14
101,57.14
66,29
84,35
83,54
66,58
89,29
78,57.14
37,29
82,57.14
79,37
61,57.14
83,57.14
98,57.14
89,57.14
101,57.14
49,61
63,57.14
66,57.14
90,57.14
57.14,57.14
81,57.14
77,57.14
78,26
75,39
63,57.14
75,58
79,51
79,57.14
89,37
74,57.14
83,57.14
81,57.14
82,57.14
74,57.14
73,57.14
76,57.14
99,42
82,29
86,57.14
88,57.14
85,39
90,51
84,57.14
51,57.14
50,57.14
57.14,57.14
57.14,43
82,57.14
82,22
60,57.14
94,57.14
75,57.14
71,57.14
74,57.14
86,57.14
73,57.14
75,57.14
54,53
94,57.14
83,57.14
62,48
1.08,43
71,57.14
73,57.14
87,57.14
92,57.14
55,57.14
91,26
84,30
84,56
85,57.14
89,54
82,39
90,57.14
57.14,57.14
57.14,51
57.14,57.14
57.14,57.14
57.14,52
57.14,57.14
78,48
69,57.14
23,57.14
45,57.14
94,38
60,21
89,56
69,57.14
77,40
76,56
93,57.14
57.14,34
80,57.14
80,46
80,57.14
62,57.14
73,57.14
88,85
83,50
80,57.14
61,31
65,57.14
88,57.14
88,57.14
87,57.14
88,43
57.14,59
56,57.14
77,57.14
64,68
81,51
79,34
100,57.14
76,44
67,62
38,57.14
57.14,57.14
88,57.14
63,57.14
58,57.14
84,22
83,39
90,57.14
74,57.14
84,42
53,26
75,57.14
89,57.14
67,37
77,57.14
76,57.14
56,30
47,31
56,57.14
73,57.14
77,57.14
73,57.14
67,46
64,35
82,52
91,43
61,57.14
65,59
79,57.14
65,57.14
57.14,57.14
83,61
57.14,55
57.14,57.14
57.14,57.14
66,48
57.14,57.14
77,57.14
95,22
84,68
57.14,57.14
80,35
57.14,60
88,52
85,57.14
72,30
88,57.14
91,57.14
91,29
60,57.14
65,35
65,27
81,57.14
88,57.14
96,57.14
74,57.14
95,57.14
74,57.14
65,57.14
81,57.14
69,57.14
78,57.14
94,51
85,59
76,61
78,44
80,58
66,67
95,57.14
76,57.14
53,55
76,29
87,57.14
105,65
83,30
60,57.14
67,57.14
57,73
61,57.14
92,57.14
92,28
84,57.14
81,55
86,57.14
93,57.14
75,57.14
46,49
70,57.14
81,57.14
71,30
93,57.14
72,35
57.14,30
90,57.14
89,57.14
64,57.14
65,57.14
65,57.14
51,57.14
83,57.14
82,64
75,47
74,57.14
76,57.14
81,68
63,57.14
90,57.14
87,57.14
59,57.14
48,57.14
82,78
92,63
67,57.14
69,25
63,67
91,57.14
93,57.14
65,57.14
66,41
81,57.14
40,55
61,50
57,57.14
90,57.14
76,57.14
72,29
69,41
75,57.14
87,32
89,52
80,40
94,27
57.14,57.14
83,38
57.14,37
82,57.14
87,57.14
66,57.14
79,36
33,57.14
80,37
86,57.14
90,43
89,22
64,57.14
91,26
78,39
85,61
86,57.14
93,57.14
77,57.14
90,57.14
82,57.14
58,31
69,47
79,57.14
75,41
91,45
69,39
90,57.14
70,57
57.14,57.14
90,48
63,57.14
88,57.14
89,57.14
86,57.14
100,61
82,57.14
42,57.14
78,57.14
75,51
87,57.14
