control,case
55,90
30,91
61,78
38,64
41,96
35,83
77,77
42,87
17,80
49,70
62,77
64,86
21,62
73,80
68,85
57,55
56,84
87,77
56,82
93,75
70,77
43,91
36,77
50,87
50,85
57,54
87,81
38,51
86,88
56,56
85,70
85,51
40,84
85,77
77,53
69,90
52,72
58,71
67,95
50,81
71,57
78,84
71,79
69,70
80,70
44,70
75,92
79,81
82,93
75,96
95,94
78,81
86,90
93,79
91,89
51,82
55,89
58,85
79,88
80,89
73,97
89,83
63,87
89,83
77,99
62,88
68,77
87,71
73,72
78,68
64,90
42,98
86,85
74,88
86,71
36,70
61,74
65,73
39,78
70,64
51,87
80,89
96,51
79,85
73,93
77,86
31,75
73,86
49,87
85,75
87,76
69,90
87,90
88,58
72,75
65,80
74,90
77,58
93,51
91,79
23,91
40,80
39,93
82,77
43,57.14
35,76
60,88
30,80
36,92
38,90
79,84
18,84
47,72
49,76
54,75
35,77
33,82
31,90
27,78
52,104
39,71
78,85
36,92
74,57.14
61,91
57.14,91
54,87
93,32
29,64
30,81
89,86
50,97
46,63
41,83
38,82
27,57.14
40,77
58,89
29,67
51,61
48,83
64,86
30,87
81,92
29,92
49,89
28,96
45,101
54,67
57,97
57,88
63,45
36,96
48,94
94,96
44,101
45,91
36,93
46,85
57.14,85
42,71
54,57.14
43,78
22,54
51,88
74,64
75,65
49,65
81,94
40,50
46,100
59,96
28,89
41,92
58,93
67,58
87,88
54,65
55,87
85,39
46,58
55,96
26,62
36,84
49,91
54,61
53,92
55,84
41,77
38,81
94,74
58,65
71,93
76,74
31,72
40,56
92,76
96,45
81,86
82,60
23,57.14
39,82
40,86
66,88
39,52
52,73
41,66
40,70
88,61
62,60
35,43
70,91
63,68
53,99
68,82
39,89
60,68
29,54
71,73
56,89
69,56
76,85
95,63
67,98
50,89
56,25
34,70
52,86
49,44
56,62
31,85
34,57.14
46,88
37,48
83,88
93,83
61,81
26,79
93,75
68,66
41,90
44,91
29,83
33,60
40,56
35,78
40,87
33,62
71,54
48,89
75,73
46,28
32,68
39,75
57,70
24,76
60,62
34,83
78,92
62,88
47,71
52,96
49,83
49,72
50,94
96,83
38,101
69,66
73,84
78,83
55,66
26,89
32,78
25,37
43,82
57.14,79
56,61
58,83
26,98
33,89
66,101
65,49
43,63
42,66
81,90
37,57.14
41,81
60,77
28,78
98,75
57,63
58,75
38,79
83,79
93,89
92,74
57,83
28,81
39,82
35,74
35,73
26,76
41,99
52,82
44,86
44,88
46,85
61,90
39,84
29,51
46,50
24,57.14
64,57.14
42,82
58,82
50,60
37,94
28,75
85,71
64,74
38,86
28,73
95,75
50,54
32,94
40,83
53,62
