control,case
71,90
85,91
92,78
57.14,64
91,96
91,83
87,77
32,87
64,80
81,70
86,77
97,86
63,62
83,80
82,85
57.14,55
77,84
89,77
67,82
61,75
83,55
86,30
87,61
92,38
92,41
89,35
96,77
101,42
67,17
97,49
88,62
45,64
96,21
94,73
96,68
101,57
91,56
93,87
85,56
85,93
71,70
57.14,43
78,36
54,50
88,50
55,57
39,87
38,38
47,86
57.14,56
57.14,85
57.14,85
57.14,40
70,85
57.14,77
57.14,69
57.14,52
57.14,58
46,67
33,50
68,71
57.14,78
43,71
57.14,69
57.14,80
57.14,44
57.14,75
57.14,79
50,82
27,75
46,95
57.14,78
57.14,86
57.14,93
29,91
35,51
54,55
58,58
29,79
57.14,80
29,73
57.14,89
37,63
57.14,89
57.14,77
57.14,62
57.14,68
57.14,87
61,73
57.14,78
57.14,64
57.14,42
57.14,86
57.14,74
57.14,86
26,36
39,61
57.14,65
58,39
51,70
57.14,51
37,80
57.14,96
57.14,79
57.14,73
57.14,77
57.14,31
57.14,73
57.14,49
42,85
29,87
57.14,69
57.14,87
39,88
51,72
57.14,65
57.14,74
57.14,77
57.14,93
43,91
57.14,77
22,91
57.14,77
57.14,87
57.14,85
57.14,54
57.14,81
57.14,51
57.14,88
57.14,56
53,70
57.14,51
57.14,84
48,77
43,53
57.14,90
57.14,72
57.14,71
57.14,95
57.14,81
26,57
30,84
56,79
57.14,70
54,70
39,70
57.14,92
57.14,81
51,93
57.14,96
57.14,94
52,81
57.14,90
48,79
57.14,89
57.14,82
57.14,89
38,85
21,88
56,89
57.14,97
40,83
56,87
57.14,83
34,99
57.14,88
46,77
57.14,71
57.14,72
57.14,68
85,90
50,98
57.14,85
31,88
57.14,71
57.14,70
57.14,74
57.14,73
43,78
59,64
57.14,87
57.14,89
68,51
51,85
34,93
57.14,86
44,75
62,86
57.14,87
57.14,75
57.14,76
57.14,90
57.14,90
22,58
39,75
57.14,80
57.14,90
42,58
26,51
57.14,79
57.14,91
37,80
57.14,93
57.14,77
30,57.14
31,76
57.14,88
57.14,80
57.14,92
57.14,90
46,84
35,84
52,72
43,76
57.14,75
59,77
57.14,23
57.14,40
57.14,39
61,82
55,43
57.14,35
57.14,60
48,30
57.14,36
57.14,38
22,79
68,18
57.14,47
35,49
60,54
52,35
57.14,33
30,31
57.14,27
57.14,52
29,39
57.14,78
35,36
27,74
57.14,61
57.14,57.14
57.14,54
57.14,93
57.14,29
57.14,30
57.14,89
57.14,50
57.14,46
57.14,41
51,38
59,27
61,40
44,58
58,29
67,51
57.14,48
57.14,64
55,30
29,81
57.14,29
65,49
30,28
57.14,45
57.14,54
73,57
57.14,57
57.14,63
28,36
57.14,48
55,94
57.14,44
57.14,45
57.14,36
49,46
57.14,57.14
57.14,42
30,54
57.14,43
35,22
30,51
57.14,74
57.14,75
57.14,49
57.14,81
57.14,40
57.14,46
57.14,59
64,28
47,41
57.14,58
57.14,67
68,87
57.14,54
57.14,55
57.14,85
57.14,46
57.14,55
78,26
63,36
57.14,49
25,54
67,53
57.14,55
57.14,41
57.14,38
41,94
57.14,58
55,71
50,76
57.14,31
57.14,40
57.14,92
29,96
41,81
57.14,82
32,23
52,39
40,40
27,66
57.14,39
38,52
37,41
57.14,40
57.14,88
57.14,62
36,35
57.14,70
37,63
57.14,53
43,68
22,39
57.14,60
26,29
39,71
61,56
57.14,69
57.14,76
57.14,95
57.14,67
57.14,50
31,56
47,34
57.14,52
41,49
45,56
39,31
57.14,34
57,46
57.14,37
48,83
57.14,93
57.14,61
57.14,26
57.14,93
61,68
57.14,41
57.14,44
57.14,29
51,33
57.14,40
35,35
57.14,40
57.14,33
57.14,71
40,48
57.14,75
64,46
57.14,32
57.14,39
57.14,57
57.14,24
57.14,60
57.14,34
48,78
57.14,62
57.14,47
67,52
57.14,49
57.14,49
49,50
64,96
43,38
57.14,69
53,73
48,78
31,55
59,26
57.14,32
57.14,25
57.14,43
57.14,57.14
57.14,56
57.14,58
57.14,26
51,33
57.14,66
51,65
27,43
57.14,42
57.14,81
57.14,37
57.14,41
57.14,60
57.14,28
57.14,98
57.14,57
57.14,58
57.14,38
57.14,83
57.14,93
57.14,92
57.14,57
57.14,28
57.14,39
57.14,35
57.14,35
57.14,26
57.14,41
57.14,52
57.14,44
57.14,44
42,46
57.14,61
57.14,39
57.14,29
57.14,46
57.14,24
46,64
50,42
57.14,58
57.14,50
61,37
36,28
57.14,85
57.14,64
59,38
63,28
57.14,95
57.14,50
57.14,32
57.14,40
57,53
27,48
57.14,53
88,57
55,44
57.14,20
23,61
40,43
57.14,22
72,36
57,52
57.14,30
57.14,45
57.14,67
79,29
57.14,79
48,53
29,93
32,62
57.14,53
49,88
67,94
57.14,33
57.14,42
57.14,46
23,79
79,57.14
40,21
57.14,57.14
34,45
52,57.14
31,68
57.14,59
57.14,99
45,81
57.14,45
48,36
57.14,90
57.14,40
57.14,75
57.14,44
57.14,66
57.14,59
57.14,25
57.14,26
57.14,43
57.14,45
57.14,74
39,63
61,83
57.14,43
63,53
57.14,84
57.14,80
57.14,68
57.14,76
57.14,33
57.14,39
57.14,40
57.14,43
25,38
57.14,51
36,43
57.14,71
39,58
51,25
57.14,66
34,59
57.14,64
57.14,58
57.14,25
57.14,34
57.14,66
57.14,22
68,26
57.14,33
57.14,72
57.14,80
57.14,87
57,48
51,59
46,36
57.14,74
57.14,37
45,67
38,36
57.14,41
57.14,22
57.14,52
57.14,35
57.14,71
57.14,59
57.14,42
57.14,51
57.14,91
57.14,33
57.14,37
36,43
31,49
57.14,29
57.14,57.14
57.14,52
57.14,37
24,52
45,39
88,33
57.14,91
87,69
57.14,35
57.14,64
36,57
47,57.14
57.14,66
57.14,71
57.14,49
57.14,57
57.14,62
57.14,52
57.14,63
57.14,49
57.14,85
57.14,69
57.14,55
57.14,64
57.14,65
57.14,58
57.14,58
57.14,39
61,27
57.14,43
53,93
57.14,47
50,49
57.14,73
57.14,41
57.14,72
57.14,34
57.14,50
53,22
57.14,36
57.14,48
57.14,79
44,81
53,69
29,36
57.14,57
57.14,23
42,61
32,33
57,63
57.14,30
57.14,29
57.14,43
57.14,33
21,19
57.14,65
31,49
50,40
57.14,56
57.14,80
57.14,59
57.14,39
57.14,40
57.14,65
61,39
57.14,64
51,29
57,37
57.14,80
57.14,28
48,57.14
57.14,81
58,37
25,81
61,86
57.14,76
28,57.14
57.14,70
57.14,63
57.14,63
57.14,35
57.14,36
51,23
57.14,29
57.14,34
57.14,74
57.14,57.14
46,43
57.14,34
57.14,48
43,88
57.14,34
57.14,71
57.14,50
57.14,57.14
57.14,60
25,89
57.14,74
57.14,46
27,64
62,19
57.14,65
57.14,53
57.14,61
57.14,57
57.14,51
52,38
76,80
57.14,43
57.14,27
57.14,34
57.14,36
57.14,74
32,90
86,34
57.14,63
57.14,40
63,50
57.14,75
57.14,47
57.14,54
27,44
52,88
72,80
57.14,44
57.14,39
57.14,72
57.14,56
57.14,65
74,45
57.14,63
57.14,62
57.14,40
57.14,29
57.14,67
57.14,61
62,71
57.14,57
38,55
57.14,82
57.14,74
57.14,45
57.14,39
80,27
57.14,40
57.14,46
54,55
57.14,48
57.14,61
54,56
57.14,41
57.14,31
57.14,76
56,27
34,46
52,29
57.14,79
49,38
57.14,36
57.14,58
57.14,45
47,75
57.14,79
57.14,89
54,82
57.14,50
57.14,63
57.14,63
31,78
57.14,50
30,41
57.14,70
57.14,81
57.14,73
49,85
20,71
65,81
57.14,70
57.14,57.14
78,36
57.14,55
57.14,39
68,94
47,99
47,80
74,50
57.14,93
69,67
57.14,80
57.14,27
57.14,82
57.14,58
70,37
57.14,36
57.14,34
65,80
57,59
44,52
57.14,77
57.14,45
75,81
70,28
70,49
57.14,57.14
57.14,35
85,66
52,78
84,79
57.14,41
46,67
34,77
84,33
66,61
57.14,59
57.14,30
57.14,91
57.14,63
57.14,39
57.14,33
57.14,20
57.14,49
57.14,80
57.14,30
57.14,44
57.14,44
57.14,62
57.14,76
57.14,29
57.14,50
57.14,25
57.14,25
57.14,40
57.14,46
57.14,40
57.14,37
57.14,59
57.14,73
57.14,90
57.14,29
72,82
57.14,86
44,57
57.14,71
57.14,42
43,89
36,62
57.14,56
57.14,37
57.14,70
57.14,71
64,57.14
65,40
65,87
94,35
50,57
100,23
96,47
89,78
92,62
93,50
58,38
88,57
65,31
87,21
39,75
58,30
96,79
62,30
84,51
91,21
61,67
92,60
84,95
77,56
81,27
74,83
65,55
93,35
74,38
72,30
56,81
76,81
45,61
86,88
60,27
57.14,44
82,81
86,39
88,44
52,88
73,76
66,54
70,87
61,31
60,38
43,53
91,54
68,97
99,83
82,73
89,83
68,79
54,58
73,65
89,25
56,85
85,32
63,81
98,58
89,66
25,84
70,74
86,80
44,61
62,63
85,58
57.14,75
88,40
48,23
88,58
83,25
81,82
79,69
75,76
66,71
90,80
91,54
83,26
60,79
56,53
78,48
87,21
62,82
54,68
89,24
73,26
28,62
68,55
75,52
70,41
76,22
62,82
83,57.14
92,80
88,33
71,71
96,40
83,36
72,32
94,57.14
